Prediction,Resolution,Score avg,Score stdev,Scott,Market,Sprfrcaster avg,[extra alignment column],Predictor avg,Aggregate,[extra alignment columns],,,,,,,,,,,,,,,
"Scott predictions (sections: US/world, econ/tech, COVID, prediction markets)",,,,,,,,,,,,,,,,,,,,,,,,,
Biden approval rating (as per 538) is greater than fifty percent (40),0,0.39,0.26,0.51,0.15,0.31,0.340833333,0.36,0.27,,,,,0.8,0.51,0.51,0.11,0.22,0.43,0.36,0.36,0.36,0.22,0.08,0.13
At least $250 million in damage from a single round of mass protests in US (10),0,0.19,0.33,0.11,0.45,0.17,,0.16,0.13,,,,,0.05,0.11,0.05,1.2,0.11,0.11,0.22,0.08,0.05,0.22,0.14,0.11
PredictIt thinks Joe Biden is most likely 2024 Dem nominee (80),1,0.35,0.36,0.22,0.31,0.24,,0.31,0.32,,,,,0.16,0.22,0.36,0.51,0.22,0.36,0.29,0.22,0.22,0.11,0.16,0.07
PredictIt thinks Donald Trump is most likely 2024 GOP nominee (60),0,1.05,0.51,0.92,0.92,1.31,,0.95,1.06,,,,,1.05,0.92,1.61,2.3,1.39,1.2,1.05,0.92,1.2,1.2,1.39,1.77
"Major flare-up (worse than past 5 years) in Russia/Ukraine conflict (50; also, Matt Yglesias predicts a 40% chance that Russia invades Ukraine)",1,0.72,0.51,0.69,0.27,0.58,,0.63,0.58,,,,,1.05,0.69,0.51,0.43,1.2,0.92,0.51,1.05,0.36,0.51,0.05,0.37
Major flare-up (worse than past 10 years) in Israel/Palestine conflict (5),0,0.11,0.16,0.05,0.16,0.08,,0.11,0.1,,,,,0.05,0.05,0.02,0.16,0.05,0.05,0.22,0.05,0.05,0.05,0.07,0.05
Major flare-up (worse than in past 50 years) in China/Taiwan conflict (5),0,0.12,0.18,0.05,0.16,0.1,,0.11,0.1,,,,,0.05,0.05,0.11,0.22,0.01,0.22,0.22,0.08,0.11,0.08,0.09,0.01
Honduran ZEDEs legally crippled to the point where no reasonable person would invest in them further (5),0,0.14,0.32,0.05,,0.18,,0.14,0.14,,,,,0.11,0.05,0.29,3,0.05,0.05,0.11,0.08,0.05,0.05,0.05,0.05
New ZEDE approved in Honduras (30),0,0.34,0.17,0.36,,0.27,,0.31,0.24,,,,,0.29,0.36,0.36,0.11,0.36,0.36,0.36,0.16,0.36,0.36,0.22,0.22
